timestamp,switchID_t3, ingress_port3, egress_port3, egress_spec3, ingress_global_timestamp3, egress_global_timestamp3, enq_timestamp3, enq_qdepth3, deq_timedelta3, deq_qdepth3,switchID_t2, ingress_port2, egress_port2, egress_spec2, ingress_global_timestamp2, egress_global_timestamp2, enq_timestamp2, enq_qdepth2, deq_timedelta2, deq_qdepth2,switchID_t1, ingress_port1, egress_port1, egress_spec1, ingress_global_timestamp1, egress_global_timestamp1, enq_timestamp1, enq_qdepth1, deq_timedelta1, deq_qdepth1
1648573326,3,0,1,0,20502459,20502714,20502650,0,67,0,2,0,1,0,33822177,33822432,33822370,0,65,0,1,0,1,0,48292321,48292459,48292427,0,33,0
1648573327,3,0,1,0,21516720,21516827,21516803,0,27,0,2,0,1,0,34837585,34837692,34837667,0,28,0,1,0,1,0,49308548,49308665,49308634,0,34,0
1648573328,3,0,1,0,22538841,22538958,22538932,0,28,0,2,0,1,0,35859517,35859635,35859608,0,30,0,1,0,1,0,50330400,50330516,50330489,0,29,0
1648573329,3,0,1,0,23556008,23556124,23556092,0,35,0,2,0,1,0,36876585,36876693,36876662,0,34,0,1,0,1,0,51347074,51347260,51347188,0,76,0
1648573330,3,0,1,0,24578436,24578546,24578472,0,75,0,2,0,1,0,37899479,37899511,37899501,0,11,0,1,0,1,0,52367162,52367190,52367180,0,11,0
1648573331,3,0,1,0,25608251,25608343,25608331,0,12,0,2,0,1,0,38921155,38929424,38929409,0,16,0,1,0,1,0,53392584,53392611,53392601,0,11,0
1648573332,3,0,1,0,26623614,26623784,26623689,0,97,0,2,0,1,0,39943315,39943443,39943423,0,22,0,1,0,1,0,54414185,54414458,54414356,0,103,0
1648573333,3,0,1,0,27632398,27642579,27642559,0,21,0,2,0,1,0,40953242,40953481,40953388,0,94,0,1,0,1,0,55424196,55424239,55424223,0,17,0
1648573334,3,0,1,0,28657940,28661480,28661461,0,21,0,2,0,1,0,41978630,41978666,41978656,0,11,0,1,0,1,0,56449962,56450003,56449988,0,16,0
1648573335,3,0,1,0,29677279,29677928,29677647,0,283,0,2,0,1,0,42995416,42995514,42995500,1,15,0,1,0,1,0,57466107,57466190,57466179,0,12,0
1648573336,3,0,1,0,30705544,30727333,30727264,0,71,0,2,0,1,0,44014998,44015033,44015022,0,12,0,1,0,1,0,58486372,58486408,58486398,0,11,0
1648573337,3,0,1,0,31713298,31713350,31713330,0,21,0,2,0,1,0,45034431,45034468,45034457,0,12,0,1,0,1,0,59505682,59505758,59505739,0,21,0
1648573338,3,0,1,0,32742996,32747532,32744367,2,3167,0,2,0,1,0,46057325,46057664,46057578,0,87,0,1,0,1,0,60517649,60517750,60517674,0,77,0
1648573340,3,0,1,0,33764001,33775024,33775006,0,19,0,2,0,1,0,47085045,47085125,47085105,0,22,0,1,0,1,0,61556181,61556255,61556237,0,20,0
1648573341,3,0,1,0,34782529,34790391,34790373,0,19,0,2,0,1,0,48089429,48093952,48093940,0,13,0,1,0,1,0,62560691,62560769,62560750,0,20,0
1648573342,3,0,1,0,35811125,35825378,35825356,0,24,0,2,0,1,0,49130982,49131128,49131076,7,52,1,1,0,1,0,63591982,63592017,63592007,0,11,0
1648573343,3,0,1,0,36833338,36834351,36834329,0,24,0,2,0,1,0,50143131,50143844,50143645,0,201,13,1,0,1,0,64613316,64614180,64613911,0,270,14
1648573344,3,0,1,0,37872381,37878379,37878366,0,14,0,2,0,1,0,51180309,51183250,51182241,78,1009,49,1,0,1,0,65637627,65637658,65637645,0,14,0
1648573345,3,0,1,0,38874763,38879331,38879309,0,24,0,2,0,1,0,52186894,52186981,52186962,0,20,0,1,0,1,0,66658057,66658146,66658125,0,23,0
1648573346,3,0,1,0,39925728,39925821,39925809,0,13,0,2,0,1,0,53234623,53246914,53246899,0,16,0,1,0,1,0,67677625,67677659,67677645,0,15,0
1648573347,3,0,1,0,40915922,40925407,40925391,0,17,0,2,0,1,0,54236965,54237068,54237051,0,18,0,1,0,1,0,68687813,68703776,68703759,0,18,0
1648573348,3,0,1,0,41996662,41996697,41996687,0,10,0,2,0,1,0,55293388,55293421,55293409,0,13,0,1,0,1,0,69714022,69714783,69714514,53,269,0
1648573349,3,0,1,0,42982647,42983746,42983371,14,376,15,2,0,1,0,56295153,56301131,56301118,0,14,0,1,0,1,0,70741634,70741668,70741657,0,12,0
1648573350,3,0,1,0,44035449,44035685,44035667,0,19,0,2,0,1,0,57346174,57355997,57355512,0,486,0,1,0,1,0,71770498,71770524,71770515,0,10,0
1648573351,3,0,1,0,45054353,45054439,45054423,0,17,0,2,0,1,0,58362185,58362221,58362211,0,11,0,1,0,1,0,72800681,72800718,72800707,0,12,0
1648573352,3,0,1,0,46101874,46101951,46101940,0,12,0,2,0,1,0,59365761,59379210,59369165,92,10048,17,1,0,1,0,73827795,73834100,73834087,0,14,0
