timestamp;droppedFrames;bufferLevel;frameRate;bitrate;calculatedBitrate;resolution
1648575163382;0;3.642;30;3312;2004;1280x720
1648575164408;0;2.647;24;1867;2404;854x480
1648575165383;0;5.634;24;1867;2720;854x480
1648575166383;0;12.622;24;1867;3192;854x480
1648575167426;0;11.62;24;1867;3532;854x480
1648575168381;1;14.62;24;1867;3944;854x480
1648575168405;0;3.642;30;3312;1939;1280x720
1648575169396;2;13.614;24;1867;4437;854x480
1648575169409;0;2.647;24;1867;2033;854x480
1648575170385;2;12.666;24;1867;4726;854x480
1648575170385;0;5.634;24;1867;2006;854x480
1648575171381;2;11.666;24;1867;5121;854x480
1648575171382;0;12.622;24;1867;1929;854x480
1648575172388;5;10.684;24;1867;5463;854x480
1648575172396;0;11.62;24;1867;1931;854x480
1648575173381;5;13.687;24;1867;5956;854x480
1648575173381;1;14.62;24;1867;2012;854x480
1648575173384;0;3.642;30;3312;2012;1280x720
1648575174381;5;12.707;24;1867;6340;854x480
1648575174431;2;13.614;24;1867;1903;854x480
1648575174432;0;2.647;24;1867;1903;854x480
1648575175381;2;12.666;24;1867;1970;854x480
1648575175382;0;5.634;24;1867;1970;854x480
1648575175387;6;11.976;24;1867;6697;854x480
1648575176382;2;11.666;24;1867;1927;854x480
1648575176382;6;10.96;24;1867;7048;854x480
1648575176382;0;12.622;24;1867;1927;854x480
1648575177382;5;10.684;24;1867;1974;854x480
1648575177382;0;11.62;24;1867;1974;854x480
1648575177394;6;13.957;24;1867;7437;854x480
1648575178381;5;13.687;24;1867;1867;854x480
1648575178381;1;14.62;24;1867;1867;854x480
1648575178381;6;12.96;24;1867;7823;854x480
1648575178382;0;3.642;30;3312;1867;1280x720
1648575179385;6;11.958;24;1867;8188;854x480
1648575179385;5;12.707;24;1867;1848;854x480
1648575179401;2;13.614;24;1867;1853;854x480
1648575179414;0;2.647;24;1867;1853;854x480
1648575180381;2;12.666;24;1867;1901;854x480
1648575180381;0;5.634;24;1867;1901;854x480
1648575180382;6;10.957;24;1867;8598;854x480
1648575180393;6;11.976;24;1867;1901;854x480
1648575181393;2;11.666;24;1867;2011;854x480
1648575181427;6;10.96;24;1867;2011;854x480
1648575181427;0;12.622;24;1867;2011;854x480
1648575181427;6;13.973;24;1867;9059;854x480
1648575182381;5;10.684;24;1867;1964;854x480
1648575182382;0;11.62;24;1867;1964;854x480
1648575182382;6;12.987;24;1867;9401;854x480
1648575182394;6;13.957;24;1867;1964;854x480
1648575183383;5;13.687;24;1867;1939;854x480
1648575183384;6;11.978;24;1867;9762;854x480
1648575183386;1;14.62;24;1867;1939;854x480
1648575183386;6;12.96;24;1867;1939;854x480
1648575183386;0;3.642;30;3312;1939;1280x720
1648575184382;6;11.958;24;1867;1924;854x480
1648575184382;5;12.707;24;1867;1924;854x480
1648575184386;6;10.952;24;1867;10112;854x480
1648575184403;2;13.614;24;1867;1919;854x480
1648575184407;0;2.647;24;1867;1919;854x480
1648575185393;6;13.962;24;1867;10509;854x480
1648575185393;2;12.666;24;1867;1911;854x480
1648575185393;0;5.634;24;1867;1911;854x480
1648575185393;6;10.957;24;1867;1911;854x480
1648575185393;6;11.976;24;1867;1911;854x480
1648575186381;2;11.666;24;1867;1896;854x480
1648575186381;6;10.96;24;1867;1896;854x480
1648575186389;0;12.622;24;1867;1896;854x480
1648575186389;6;13.973;24;1867;1896;854x480
1648575186398;6;12.995;24;1867;10955;854x480
1648575187381;5;10.684;24;1867;1931;854x480
1648575187381;6;11.987;24;1867;11357;854x480
1648575187382;0;11.62;24;1867;1956;854x480
1648575187382;6;12.987;24;1867;1956;854x480
1648575187388;6;13.957;24;1867;1956;854x480
1648575188397;5;13.687;24;1867;1977;854x480
1648575188397;6;11.978;24;1867;1977;854x480
1648575188397;1;14.62;24;1867;1977;854x480
1648575188398;6;12.96;24;1867;1977;854x480
1648575188398;0;3.642;30;3312;1977;1280x720
1648575188398;6;10.975;30;3312;11739;1280x720
1648575189382;6;11.958;24;1867;2018;854x480
1648575189382;5;12.707;24;1867;2018;854x480
1648575189382;7;9.993;30;3312;12130;1280x720
1648575189385;6;10.952;24;1867;2018;854x480
1648575189404;2;13.614;24;1867;2023;854x480
1648575189417;0;2.647;24;1867;2023;854x480
1648575190397;6;13.962;24;1867;2048;854x480
1648575190403;2;12.666;24;1867;2048;854x480
1648575190404;0;5.634;24;1867;2048;854x480
1648575190404;6;10.957;24;1867;2048;854x480
1648575190404;6;11.976;24;1867;2048;854x480
1648575190404;8;9.026;30;3312;12556;1280x720
1648575191410;2;11.666;24;1867;1940;854x480
1648575191411;6;10.96;24;1867;1940;854x480
1648575191411;8;8.05;30;3312;12896;1280x720
1648575191411;0;12.622;24;1867;1940;854x480
1648575191411;6;13.973;24;1867;1940;854x480
1648575191411;6;12.995;24;1867;1940;854x480
1648575192381;8;7.024;30;3312;13239;1280x720
1648575192382;5;10.684;24;1867;1906;854x480
1648575192387;6;11.987;24;1867;1882;854x480
1648575192389;0;11.62;24;1867;1882;854x480
1648575192389;6;12.987;24;1867;1882;854x480
1648575192389;6;13.957;24;1867;1882;854x480
1648575193381;5;13.687;24;1867;1875;854x480
1648575193382;6;11.978;24;1867;1875;854x480
1648575193382;1;14.62;24;1867;1875;854x480
1648575193383;6;12.96;24;1867;1875;854x480
1648575193383;0;3.642;30;3312;1875;1280x720
1648575193386;6;10.975;30;3312;1875;1280x720
1648575193404;8;6.276;30;3312;13613;1280x720
1648575194390;6;11.958;24;1867;1813;854x480
1648575194390;5;12.707;24;1867;1813;854x480
1648575194390;7;9.993;30;3312;1813;1280x720
1648575194390;8;5.29;30;3312;13943;1280x720
1648575194390;6;10.952;24;1867;1813;854x480
1648575194399;2;13.614;24;1867;1833;854x480
1648575194411;0;2.647;24;1867;1833;854x480
1648575195387;6;13.962;24;1867;1787;854x480
1648575195387;2;12.666;24;1867;1787;854x480
1648575195387;0;5.634;24;1867;1787;854x480
1648575195387;6;10.957;24;1867;1787;854x480
1648575195387;6;11.976;24;1867;1787;854x480
1648575195397;8;9.026;30;3312;1787;1280x720
1648575195399;8;4.101;24;1867;14343;854x480
1648575196407;2;11.666;24;1867;1803;854x480
1648575196407;6;10.96;24;1867;1803;854x480
1648575196408;8;8.05;30;3312;1803;1280x720
1648575196408;0;12.622;24;1867;1803;854x480
1648575196408;6;13.973;24;1867;1803;854x480
1648575196408;6;12.995;24;1867;1803;854x480
1648575196449;9;3.315;24;1867;14715;854x480
1648575197381;11;6.237;24;1867;15045;854x480
1648575197382;8;7.024;30;3312;1806;1280x720
1648575197382;5;10.684;24;1867;1806;854x480
1648575197382;6;11.987;24;1867;1806;854x480
1648575197411;0;11.62;24;1867;1806;854x480
1648575197412;6;12.987;24;1867;1806;854x480
1648575197412;6;13.957;24;1867;1806;854x480
1648575198381;5;13.687;24;1867;1786;854x480
1648575198381;6;11.978;24;1867;1786;854x480
1648575198381;12;5.346;24;1867;15399;854x480
1648575198382;1;14.62;24;1867;1786;854x480
1648575198382;6;12.96;24;1867;1786;854x480
1648575198382;0;3.642;30;3312;1786;1280x720
1648575198384;6;10.975;30;3312;1786;1280x720
1648575198407;8;6.276;30;3312;1786;1280x720
1648575199381;6;11.958;24;1867;1841;854x480
1648575199382;5;12.707;24;1867;1841;854x480
1648575199382;7;9.993;30;3312;1841;1280x720
1648575199386;8;5.29;30;3312;1841;1280x720
1648575199386;6;10.952;24;1867;1841;854x480
1648575199398;12;8.202;24;1867;15856;854x480
1648575199399;2;13.614;24;1867;1889;854x480
1648575199409;0;2.647;24;1867;1889;854x480
1648575200383;6;13.962;24;1867;1819;854x480
