timestamp;droppedFrames;bufferLevel;frameRate;bitrate;calculatedBitrate;resolution
1648576755333;0;3.264;30;3312;3177;1280x720
1648576756333;0;10.261;30;3312;3794;1280x720
1648576757354;0;13.265;30;3312;4689;1280x720
1648576758334;0;20.501;30;3312;5380;1280x720
1648576759348;0;27.479;30;3312;6107;1280x720
1648576760333;0;3.264;30;3312;3722;1280x720
1648576760333;0;34.473;30;3312;6898;1280x720
1648576761333;0;10.261;30;3312;3833;1280x720
1648576761334;0;37.468;30;3312;7628;1280x720
1648576762345;0;44.358;30;3312;8209;1280x720
1648576762354;0;13.265;30;3312;3523;1280x720
1648576763333;0;20.501;30;3312;3501;1280x720
1648576763337;0;47.448;30;3312;8881;1280x720
1648576764340;0;50.402;30;3312;9639;1280x720
1648576764348;0;27.479;30;3312;3532;1280x720
1648576765333;0;3.264;30;3312;3538;1280x720
1648576765333;0;53.409;30;3312;10436;1280x720
1648576765334;0;34.473;30;3312;3538;1280x720
1648576766333;0;10.261;30;3312;3412;1280x720
1648576766333;1;56.395;30;3312;11040;1280x720
1648576766334;0;37.468;30;3312;3412;1280x720
1648576767337;0;44.358;30;3312;3427;1280x720
1648576767347;2;59.382;30;3312;11640;1280x720
1648576767358;0;13.265;30;3312;3428;1280x720
1648576768333;0;20.501;30;3312;3448;1280x720
1648576768333;2;58.391;30;3312;12329;1280x720
1648576768335;0;47.448;30;3312;3448;1280x720
1648576769333;3;61.39;30;3312;12956;1280x720
1648576769348;0;50.402;30;3312;3317;1280x720
1648576769348;0;27.479;30;3312;3317;1280x720
1648576770356;0;3.264;30;3312;3092;1280x720
1648576770357;3;60.395;30;3312;13528;1280x720
1648576770357;0;53.409;30;3312;3092;1280x720
1648576770357;0;34.473;30;3312;3092;1280x720
1648576771333;0;10.261;30;3312;3261;1280x720
1648576771333;1;56.395;30;3312;3261;1280x720
1648576771334;3;59.396;30;3312;14301;1280x720
1648576771334;0;37.468;30;3312;3261;1280x720
1648576772335;0;44.358;30;3312;3441;1280x720
1648576772346;3;58.379;30;3312;15081;1280x720
1648576772346;2;59.382;30;3312;3441;1280x720
1648576772354;0;13.265;30;3312;3474;1280x720
1648576773333;0;20.501;30;3312;3403;1280x720
1648576773333;2;58.391;30;3312;3403;1280x720
1648576773333;3;61.496;30;3312;15732;1280x720
1648576773334;0;47.448;30;3312;3403;1280x720
1648576774337;3;61.39;30;3312;3441;1280x720
1648576774337;3;60.589;30;3312;16397;1280x720
1648576774340;0;50.402;30;3312;3441;1280x720
1648576774343;0;27.479;30;3312;3441;1280x720
1648576775334;0;3.264;30;3312;3464;1280x720
1648576775334;3;60.395;30;3312;3464;1280x720
1648576775334;0;53.409;30;3312;3464;1280x720
1648576775334;0;34.473;30;3312;3464;1280x720
1648576775370;4;59.578;30;3312;17009;1280x720
1648576776336;4;58.583;30;3312;17655;1280x720
1648576776336;0;10.261;30;3312;3354;1280x720
1648576776336;1;56.395;30;3312;3354;1280x720
1648576776336;3;59.396;30;3312;3354;1280x720
1648576776336;0;37.468;30;3312;3354;1280x720
1648576777342;0;44.358;30;3312;3233;1280x720
1648576777342;4;57.584;30;3312;18314;1280x720
1648576777342;3;58.379;30;3312;3233;1280x720
1648576777345;2;59.382;30;3312;3233;1280x720
1648576777354;0;13.265;30;3312;3212;1280x720
1648576778334;0;20.501;30;3312;3328;1280x720
1648576778334;2;58.391;30;3312;3328;1280x720
1648576778334;3;61.496;30;3312;3328;1280x720
1648576778334;5;60.577;30;3312;19060;1280x720
1648576778336;0;47.448;30;3312;3328;1280x720
1648576779333;3;61.39;30;3312;3303;1280x720
1648576779347;3;60.589;30;3312;3303;1280x720
1648576779347;5;59.614;30;3312;19700;1280x720
1648576779348;0;50.402;30;3312;3303;1280x720
1648576779348;0;27.479;30;3312;3303;1280x720
1648576780336;6;58.633;30;3312;20413;1280x720
1648576780336;0;3.264;30;3312;3421;1280x720
1648576780336;3;60.395;30;3312;3421;1280x720
1648576780336;0;53.409;30;3312;3421;1280x720
1648576780336;0;34.473;30;3312;3421;1280x720
1648576780367;4;59.578;30;3312;3416;1280x720
1648576781333;4;58.583;30;3312;3410;1280x720
1648576781334;0;10.261;30;3312;3410;1280x720
1648576781334;1;56.395;30;3312;3410;1280x720
1648576781334;3;59.396;30;3312;3410;1280x720
1648576781334;0;37.468;30;3312;3410;1280x720
1648576781341;7;57.63;30;3312;21076;1280x720
1648576782353;0;44.358;30;3312;3467;1280x720
1648576782358;4;57.584;30;3312;3473;1280x720
1648576782359;3;58.379;30;3312;3473;1280x720
1648576782359;7;60.616;30;3312;21787;1280x720
1648576782359;2;59.382;30;3312;3473;1280x720
1648576782359;0;13.265;30;3312;3462;1280x720
1648576783335;0;20.501;30;3312;3357;1280x720
1648576783335;2;58.391;30;3312;3357;1280x720
1648576783335;3;61.496;30;3312;3357;1280x720
1648576783336;5;60.577;30;3312;3357;1280x720
1648576783336;7;59.657;30;3312;22417;1280x720
1648576783336;0;47.448;30;3312;3357;1280x720
1648576784351;3;61.39;30;3312;3409;1280x720
1648576784360;3;60.589;30;3312;3409;1280x720
1648576784365;7;58.673;30;3312;23109;1280x720
1648576784366;5;59.614;30;3312;3409;1280x720
1648576784367;0;50.402;30;3312;3409;1280x720
1648576784368;0;27.479;30;3312;3409;1280x720
1648576785334;6;58.633;30;3312;3279;1280x720
1648576785335;0;3.264;30;3312;3279;1280x720
1648576785335;3;60.395;30;3312;3279;1280x720
1648576785335;0;53.409;30;3312;3279;1280x720
1648576785335;0;34.473;30;3312;3279;1280x720
1648576785336;7;61.68;30;3312;23693;1280x720
1648576785367;4;59.578;30;3312;3268;1280x720
1648576786334;4;58.583;30;3312;3288;1280x720
1648576786335;0;10.261;30;3312;3288;1280x720
1648576786335;1;56.395;30;3312;3288;1280x720
1648576786335;3;59.396;30;3312;3288;1280x720
1648576786335;8;60.647;30;3312;24353;1280x720
1648576786335;0;37.468;30;3312;3288;1280x720
1648576786336;7;57.63;30;3312;3277;1280x720
1648576787340;0;44.358;30;3312;3297;1280x720
1648576787341;4;57.584;30;3312;3290;1280x720
1648576787341;3;58.379;30;3312;3290;1280x720
1648576787344;7;60.616;30;3312;3290;1280x720
1648576787345;2;59.382;30;3312;3290;1280x720
1648576787359;0;13.265;30;3312;3305;1280x720
1648576787359;9;59.652;30;3312;25093;1280x720
1648576788333;10;58.643;30;3312;25696;1280x720
1648576788333;0;20.501;30;3312;3279;1280x720
1648576788333;2;58.391;30;3312;3279;1280x720
1648576788333;3;61.496;30;3312;3279;1280x720
1648576788333;5;60.577;30;3312;3279;1280x720
1648576788337;7;59.657;30;3312;3279;1280x720
1648576788338;0;47.448;30;3312;3279;1280x720
1648576789333;3;61.39;30;3312;3290;1280x720
1648576789338;3;60.589;30;3312;3290;1280x720
1648576789339;7;58.673;30;3312;3290;1280x720
1648576789339;5;59.614;30;3312;3290;1280x720
