timestamp,switchID_t3, ingress_port3, egress_port3, egress_spec3, ingress_global_timestamp3, egress_global_timestamp3, enq_timestamp3, enq_qdepth3, deq_timedelta3, deq_qdepth3,switchID_t2, ingress_port2, egress_port2, egress_spec2, ingress_global_timestamp2, egress_global_timestamp2, enq_timestamp2, enq_qdepth2, deq_timedelta2, deq_qdepth2,switchID_t1, ingress_port1, egress_port1, egress_spec1, ingress_global_timestamp1, egress_global_timestamp1, enq_timestamp1, enq_qdepth1, deq_timedelta1, deq_qdepth1
1648572128,3,0,1,0,60613219,60613364,60613332,0,33,0,2,0,1,0,55548410,55548555,55548523,0,33,0,1,0,1,0,52064857,52065034,52064997,0,39,0
1648572129,3,0,1,0,61628129,61628291,61628255,0,40,0,2,0,1,0,56563236,56563387,56563350,0,41,0,1,0,1,0,53079861,53079995,53079961,0,38,0
1648572130,3,0,1,0,62653251,62653298,62653283,0,16,0,2,0,1,0,57589112,57589143,57589133,0,11,0,1,0,1,0,54096539,54096608,54096591,0,19,0
1648572131,3,0,1,0,63669588,63669637,63669622,0,16,0,2,0,1,0,58600464,58605374,58605360,0,15,0,1,0,1,0,55111086,55111120,55111110,0,11,0
1648572132,3,0,1,0,64685370,64685553,64685516,3,37,0,2,0,1,0,59618514,59620696,59620652,0,46,0,1,0,1,0,56134872,56134907,56134897,0,11,0
1648572133,3,0,1,0,65701069,65701134,65701108,0,27,0,2,0,1,0,60636745,60636837,60636817,0,22,0,1,0,1,0,57153662,57153756,57153734,0,24,0
1648572134,3,0,1,0,66721187,66721557,66721391,0,167,0,2,0,1,0,61655694,61655940,61655825,8,115,2,1,0,1,0,58172060,58172247,58172165,8,82,2
1648572135,3,0,1,0,67740733,67741269,67741143,12,127,0,2,0,1,0,62673859,62674064,62673978,6,87,0,1,0,1,0,59191051,59191086,59191076,0,11,0
1648572136,3,0,1,0,68756018,68756062,68756050,0,13,0,2,0,1,0,63691809,63691853,63691840,0,14,0,1,0,1,0,60208911,60209021,60208979,0,44,0
1648572137,3,0,1,0,69783498,69783771,69783745,0,27,0,2,0,1,0,64715816,64715851,64715841,0,98,0,1,0,1,0,61228847,61229301,61229101,27,200,0
1648572138,3,0,1,0,70809876,70810746,70810525,12,221,0,2,0,1,0,65734412,65734443,65734433,0,11,0,1,0,1,0,62246481,62246531,62246519,0,13,0
1648572139,3,0,1,0,71807694,71807816,71807783,0,34,0,2,0,1,0,66742847,66742905,66742883,0,23,0,1,0,1,0,63260033,63260062,63260052,0,11,0
1648572141,3,0,1,0,72851956,72858603,72858588,0,17,0,2,0,1,0,67782666,67785287,67785271,0,17,0,1,0,1,0,64294458,64294763,64294681,0,83,8
1648572142,3,0,1,0,73872721,73872757,73872747,0,11,0,2,0,1,0,68804455,68807801,68807777,0,25,0,1,0,1,0,65321319,65321405,65321385,0,22,0
1648572143,3,0,1,0,74882991,74883026,74883015,0,12,0,2,0,1,0,69818522,69818648,69818609,0,40,0,1,0,1,0,66334965,66335181,66335108,0,75,0
1648572144,3,0,1,0,75900534,75901079,75901045,0,37,0,2,0,1,0,70834375,70834586,70834572,0,15,0,1,0,1,0,67351520,67351564,67351552,0,13,0
1648572145,3,0,1,0,76918178,76924264,76924247,0,18,0,2,0,1,0,71848053,71848676,71848375,39,301,0,1,0,1,0,68364511,68364568,68364554,0,15,0
1648572146,3,0,1,0,77930499,77932045,77932017,0,30,0,2,0,1,0,72860358,72860455,72860408,0,49,0,1,0,1,0,69377185,69377275,69377255,0,22,0
1648572147,3,0,1,0,78949759,78950001,78949939,4,63,0,2,0,1,0,73882476,73882506,73882497,0,10,0,1,0,1,0,70396352,70396394,70396382,0,13,0
1648572149,3,0,1,0,80994857,80995343,80995202,6,142,0,2,0,1,0,75926490,75927811,75927395,37,416,19,1,0,1,0,72440713,72440756,72440744,0,13,0
1648572150,3,0,1,0,82017001,82017117,82017084,0,34,0,2,0,1,0,76946082,76949240,76948406,0,837,52,1,0,1,0,73455599,73455633,73455620,0,14,0
1648572151,3,0,1,0,83024682,83026993,83026976,0,18,0,2,0,1,0,77960320,77960442,77960409,0,34,0,1,0,1,0,74474309,74474380,74474362,0,19,0
1648572152,3,0,1,0,84043351,84043857,84043595,8,263,2,2,0,1,0,78977098,78977294,78977211,8,84,0,1,0,1,0,75493496,75493677,75493599,8,79,0
1648572153,3,0,1,0,85084362,85084443,85084432,0,11,0,2,0,1,0,80003425,80005671,80005660,0,12,0,1,0,1,0,76520181,76520388,76520311,4,77,0
1648572154,3,0,1,0,86090364,86092068,86091977,0,93,0,2,0,1,0,81023052,81023165,81023117,1,49,0,1,0,1,0,77537805,77537842,77537831,0,11,0
1648572155,3,0,1,0,87116904,87122815,87122795,0,22,0,2,0,1,0,82042755,82042791,82042781,0,12,0,1,0,1,0,78556778,78556812,78556802,0,11,0
1648572156,3,0,1,0,88123765,88124046,88123996,6,66,0,2,0,1,0,83054551,83055614,83055141,56,474,0,1,0,1,0,79569081,79569117,79569106,0,12,0
1648572157,3,0,1,0,89147613,89154404,89154389,0,17,0,2,0,1,0,84080363,84081051,84080984,1,68,1,1,0,1,0,80595569,80595730,80595674,0,58,0
1648572158,3,0,1,0,90173717,90173766,90173750,0,17,0,2,0,1,0,85108967,85109385,85109232,0,155,0,1,0,1,0,81624541,81624617,81624598,0,20,0
